gene,cell_type,log2fc,pval,padj
CD244,TRAM-3,0.7836667855580143,0.9352279764854945,0.9773905190812278
TSTD1,TRAM-3,2.7383246366711735,0.08391277999003866,0.960451064784517
HSPA6,TRAM-3,1.1590912416902786,0.4940962308897997,0.960451064784517
FCGR2B,TRAM-3,-0.15222270498491608,0.9092542351760954,0.9730863032642807
FCRLA,TRAM-3,1.3714482307311608,0.5898244395060338,0.960451064784517
SH2D1B,TRAM-3,1.5384199147841258,0.6173928954156714,0.960451064784517
CD247,TRAM-3,1.7853789443470618,0.49871304895241797,0.960451064784517
RCSD1,TRAM-3,2.1411283990586845,0.2169543319911651,0.960451064784517
XCL2,TRAM-3,-0.019210603965834752,0.5943714264805031,0.960451064784517
XCL1,TRAM-3,2.2174769309223312,0.45401996639639,0.960451064784517
SELL,TRAM-3,2.953867958740305,0.14852860341942326,0.960451064784517
FASLG,TRAM-3,2.1154772174199357,0.47414771587218885,0.960451064784517
TNFSF4,TRAM-3,1.3388987386223241,0.6276838326139633,0.960451064784517
AL645568.1,TRAM-3,1.3782855682002453,0.4587064288755609,0.960451064784517
GAS5,TRAM-3,0.9837445048048206,0.5559849709736229,0.960451064784517
RALGPS2,TRAM-3,1.2668267295371727,0.494020705181624,0.960451064784517
RGS16,TRAM-3,3.90383403717518,0.1347484014446999,0.960451064784517
COLGALT2,TRAM-3,-1.1466926952045955,0.03217653219032693,0.960451064784517
C1orf21,TRAM-3,3.3154251498468086,0.139845144660183,0.960451064784517
IVNS1ABP,TRAM-3,1.3758742948675056,0.5184103328142913,0.960451064784517
PTGS2,TRAM-3,3.2226916053114922,0.08717474665359645,0.960451064784517
RGS1,TRAM-3,1.6804880301714562,0.543252028240181,0.960451064784517
RGS2,TRAM-3,-0.2280020069932321,0.8344565227534335,0.960451064784517
B3GALT2,TRAM-3,1.7057146601817663,0.31269689957607893,0.960451064784517
AL138778.1,TRAM-3,4.090154437256605,0.13606189204343938,0.960451064784517
