variant,task,modality,metric,mean,std,count,mean_std,split,value
longitudinal_mk_no_alibi,acr_surv,HE,c_index,,,,,0.0,0.55
longitudinal_mk_no_alibi,acr_surv,BAL,c_index,,,,,0.0,0.4523809523809524
longitudinal_mk_no_alibi,acr_surv,CT,c_index,,,,,0.0,0.5964912280701754
longitudinal_mk_no_alibi,acr_surv,Clinical,c_index,,,,,0.0,0.44274809160305345
longitudinal_mk_no_alibi,clad_surv,HE,c_index,,,,,0.0,0.43478260869565216
longitudinal_mk_no_alibi,clad_surv,BAL,c_index,,,,,0.0,0.64
longitudinal_mk_no_alibi,clad_surv,CT,c_index,,,,,0.0,0.22285714285714286
longitudinal_mk_no_alibi,clad_surv,Clinical,c_index,,,,,0.0,0.30726256983240224
longitudinal_mk_no_alibi,death_surv,HE,c_index,,,,,0.0,0.46875
longitudinal_mk_no_alibi,death_surv,BAL,c_index,,,,,0.0,0.4857142857142857
longitudinal_mk_no_alibi,death_surv,CT,c_index,,,,,0.0,0.775
longitudinal_mk_no_alibi,death_surv,Clinical,c_index,,,,,0.0,0.7123287671232876
longitudinal_mk_mt_no_alibi,cls,HE,bacc,,,,,0.0,0.5
longitudinal_mk_mt_no_alibi,cls,BAL,bacc,,,,,0.0,0.625
longitudinal_mk_mt_no_alibi,cls,CT,bacc,,,,,0.0,0.8461538461538461
longitudinal_mk_mt_no_alibi,cls,Clinical,bacc,,,,,0.0,0.46153846153846156
longitudinal_mk_mt_no_alibi,acr_surv,HE,c_index,,,,,0.0,0.5666666666666667
longitudinal_mk_mt_no_alibi,acr_surv,BAL,c_index,,,,,0.0,0.40476190476190477
longitudinal_mk_mt_no_alibi,acr_surv,CT,c_index,,,,,0.0,0.5175438596491229
longitudinal_mk_mt_no_alibi,acr_surv,Clinical,c_index,,,,,0.0,0.44274809160305345
longitudinal_mk_mt_no_alibi,clad_surv,HE,c_index,,,,,0.0,0.6739130434782609
longitudinal_mk_mt_no_alibi,clad_surv,BAL,c_index,,,,,0.0,0.68
longitudinal_mk_mt_no_alibi,clad_surv,CT,c_index,,,,,0.0,0.42857142857142855
longitudinal_mk_mt_no_alibi,clad_surv,Clinical,c_index,,,,,0.0,0.46368715083798884
longitudinal_mk_mt_no_alibi,death_surv,HE,c_index,,,,,0.0,0.4
longitudinal_mk_mt_no_alibi,death_surv,BAL,c_index,,,,,0.0,0.6857142857142857
longitudinal_mk_mt_no_alibi,death_surv,CT,c_index,,,,,0.0,0.75
longitudinal_mk_mt_no_alibi,death_surv,Clinical,c_index,,,,,0.0,0.541095890410959
