split,variant,task,modality,metric,value,n,auc
2,set_mil_mt_no_sab,acr_surv,CT,c_index,0.506758710423594,526,
2,set_mil_mt_no_sab,acr_surv,Clinical,c_index,0.5783313054842053,870,
2,set_mil_mt_no_sab,clad_surv,HE,c_index,0.34977578475336324,104,
2,set_mil_mt_no_sab,clad_surv,BAL,c_index,0.4888888888888889,20,
2,set_mil_mt_no_sab,clad_surv,CT,c_index,0.5326990999202461,367,
2,set_mil_mt_no_sab,clad_surv,Clinical,c_index,0.601767109883152,594,
2,set_mil_mt_no_sab,cls,HE,bacc,0.8653350515463918,113,0.9574742268041238
2,set_mil_mt_no_sab,cls,BAL,bacc,0.2,16,0.29090909090909095
2,set_mil_mt_no_sab,cls,CT,bacc,0.5564892623716153,137,0.634453781512605
2,set_mil_mt_no_sab,cls,Clinical,bacc,0.5025862068965518,262,0.5970545977011493
2,set_mil_mt_no_sab,death_surv,HE,c_index,0.6354869816779171,108,
2,set_mil_mt_no_sab,death_surv,BAL,c_index,0.5862068965517241,24,
2,set_mil_mt_no_sab,death_surv,CT,c_index,0.6775114155251142,422,
2,set_mil_mt_no_sab,death_surv,Clinical,c_index,0.5752680765080022,659,
2,set_mil_no_sab,acr_surv,HE,c_index,0.7272058823529411,212,
2,set_mil_no_sab,acr_surv,BAL,c_index,0.4666666666666667,37,
2,set_mil_no_sab,acr_surv,CT,c_index,0.4737964435448894,526,
2,set_mil_no_sab,acr_surv,Clinical,c_index,0.5176873507277725,870,
2,set_mil_no_sab,clad_surv,HE,c_index,0.3071748878923767,104,
2,set_mil_no_sab,clad_surv,BAL,c_index,0.5111111111111111,20,
2,set_mil_no_sab,clad_surv,CT,c_index,0.4285063233451065,367,
2,set_mil_no_sab,clad_surv,Clinical,c_index,0.5205779082484314,594,
2,set_mil_no_sab,cls,HE,bacc,0.8911082474226804,113,0.9478092783505154
2,set_mil_no_sab,cls,BAL,bacc,0.3,16,0.3272727272727273
2,set_mil_no_sab,cls,CT,bacc,0.5093370681605975,137,0.5569561157796452
2,set_mil_no_sab,cls,Clinical,bacc,0.47672413793103446,262,0.4650862068965518
2,set_mil_no_sab,death_surv,HE,c_index,0.6721311475409836,108,
2,set_mil_no_sab,death_surv,BAL,c_index,0.6206896551724138,24,
2,set_mil_no_sab,death_surv,CT,c_index,0.70662100456621,422,
2,set_mil_no_sab,death_surv,Clinical,c_index,0.45110330417212,659,
3,early,acr_surv,HE,c_index,0.5458368376787216,254,
3,early,acr_surv,BAL,c_index,0.16666666666666666,18,
3,early,acr_surv,CT,c_index,0.5486128011681675,388,
3,early,acr_surv,Clinical,c_index,0.5028173136731184,787,
3,early,clad_surv,HE,c_index,0.4467871485943775,134,
3,early,clad_surv,BAL,c_index,,11,
3,early,clad_surv,CT,c_index,0.3746556473829201,271,
3,early,clad_surv,Clinical,c_index,0.6304553580818172,599,
3,early,cls,HE,bacc,0.5092752372735116,141,0.5198446937014667
3,early,cls,BAL,bacc,0.5,9,0.5
3,early,cls,CT,bacc,0.5094086021505376,105,0.5627240143369175
3,early,cls,Clinical,bacc,0.44635193133047213,251,0.5572246065808297
3,early,death_surv,HE,c_index,0.484375,136,
3,early,death_surv,BAL,c_index,0.4666666666666667,11,
3,early,death_surv,CT,c_index,0.6052512037794131,303,
3,early,death_surv,Clinical,c_index,0.5576938401466253,629,
3,late,acr_surv,HE,c_index,0.5634987384356602,254,
3,late,acr_surv,BAL,c_index,0.25,18,
3,late,acr_surv,CT,c_index,0.5551837430031638,388,
3,late,acr_surv,Clinical,c_index,0.5435768907101826,787,
3,late,clad_surv,HE,c_index,0.464859437751004,134,
3,late,clad_surv,BAL,c_index,,11,
3,late,clad_surv,CT,c_index,0.5205627705627706,271,
3,late,clad_surv,Clinical,c_index,0.5731412346198338,599,
3,late,cls,HE,bacc,0.5783002588438308,141,0.6721311475409836
3,late,cls,BAL,bacc,0.5,9,0.5
3,late,cls,CT,bacc,0.4556451612903226,105,0.4753584229390681
3,late,cls,Clinical,bacc,0.46554601812112545,251,0.4526704816404387
3,late,death_surv,HE,c_index,0.5264423076923077,136,
3,late,death_surv,BAL,c_index,0.4666666666666667,11,
3,late,death_surv,CT,c_index,0.6280094485327519,303,
3,late,death_surv,Clinical,c_index,0.5500836720057375,629,
3,longitudinal_mk_no_alibi,acr_surv,HE,bacc,0.5788084464555053,245,0.662424585218703
3,longitudinal_mk_no_alibi,acr_surv,BAL,bacc,0.5,19,0.6944444444444444
3,longitudinal_mk_no_alibi,acr_surv,CT,bacc,0.49507750314201926,239,0.603477167993297
3,longitudinal_mk_no_alibi,acr_surv,Clinical,bacc,0.543359375,276,0.569140625
3,longitudinal_mk_no_alibi,death_surv,HE,c_index,0.44730865319100616,504,
3,longitudinal_mk_no_alibi,death_surv,BAL,c_index,0.4503105590062112,43,
3,longitudinal_mk_no_alibi,death_surv,CT,c_index,0.7183437977261158,660,
3,longitudinal_mk_no_alibi,death_surv,Clinical,c_index,0.5735282918284974,723,
3,middle,acr_surv,HE,c_index,0.5853658536585366,254,
3,middle,acr_surv,BAL,c_index,0.08333333333333333,18,
3,middle,acr_surv,CT,c_index,0.5008517887563884,388,
3,middle,acr_surv,Clinical,c_index,0.4444220848121181,787,
3,middle,clad_surv,HE,c_index,0.4246987951807229,134,
3,middle,clad_surv,BAL,c_index,,11,
3,middle,clad_surv,CT,c_index,0.39354584809130266,271,
3,middle,clad_surv,Clinical,c_index,0.5717215269744452,599,
3,middle,cls,HE,bacc,0.5742018981880932,141,0.6652286453839517
3,middle,cls,BAL,bacc,0.5,9,0.5
3,middle,cls,CT,bacc,0.5336021505376345,105,0.564516129032258
3,middle,cls,Clinical,bacc,0.476275631855031,251,0.47091082498807824
3,middle,death_surv,HE,c_index,0.6790865384615384,136,
3,middle,death_surv,BAL,c_index,0.43333333333333335,11,
3,middle,death_surv,CT,c_index,0.6494049241391842,303,
3,middle,death_surv,Clinical,c_index,0.577137620527532,629,
3,set_mil_mt,acr_surv,HE,c_index,0.5630782169890665,254,
3,set_mil_mt,acr_surv,BAL,c_index,0.125,18,
3,set_mil_mt,acr_surv,CT,c_index,0.5942443416889754,388,
3,set_mil_mt,acr_surv,Clinical,c_index,0.4903955215689144,787,
3,set_mil_mt,clad_surv,HE,c_index,0.4086345381526104,134,
3,set_mil_mt,clad_surv,BAL,c_index,,11,
3,set_mil_mt,clad_surv,CT,c_index,0.5157418339236521,271,
3,set_mil_mt,clad_surv,Clinical,c_index,0.7204753391523819,599,
3,set_mil_mt,cls,HE,bacc,0.6695427092320967,141,0.7812769628990509
3,set_mil_mt,cls,BAL,bacc,0.5,9,0.5
3,set_mil_mt,cls,CT,bacc,0.5336021505376345,105,0.5286738351254481
3,set_mil_mt,cls,Clinical,bacc,0.4482594182164997,251,0.5672389127324751
3,set_mil_mt,death_surv,HE,c_index,0.6201923076923077,136,
3,set_mil_mt,death_surv,BAL,c_index,0.4666666666666667,11,
3,set_mil_mt,death_surv,CT,c_index,0.6881075679113291,303,
3,set_mil_mt,death_surv,Clinical,c_index,0.627739262092597,629,
3,set_mil_mt_no_sab,acr_surv,HE,c_index,0.6526492851135408,254,
3,set_mil_mt_no_sab,acr_surv,BAL,c_index,0.5,18,
3,set_mil_mt_no_sab,acr_surv,CT,c_index,0.4792528595765393,388,
3,set_mil_mt_no_sab,acr_surv,Clinical,c_index,0.5138304489407632,787,
3,set_mil_mt_no_sab,clad_surv,HE,c_index,0.43373493975903615,134,
3,set_mil_mt_no_sab,clad_surv,BAL,c_index,,11,
3,set_mil_mt_no_sab,clad_surv,CT,c_index,0.40476190476190477,271,
3,set_mil_mt_no_sab,clad_surv,Clinical,c_index,0.6612156903985698,599,
3,set_mil_mt_no_sab,cls,HE,bacc,0.6958584987057809,141,0.8075927523727351
3,set_mil_mt_no_sab,cls,BAL,bacc,0.5,9,0.5
3,set_mil_mt_no_sab,cls,CT,bacc,0.560483870967742,105,0.49417562724014336
3,set_mil_mt_no_sab,cls,Clinical,bacc,0.533857892226991,251,0.47377205531711963
3,set_mil_mt_no_sab,death_surv,HE,c_index,0.5697115384615384,136,
3,set_mil_mt_no_sab,death_surv,BAL,c_index,0.4,11,
